name,website,city,country,lat,long,friend
Ripstop by the Roll,https://ripstopbytheroll.com/,"Durham, NC",US,36.00969,-78.87149,TRUE
Discovery Fabrics,https://discoveryfabrics.com/,"Campbell, BC",CA,50.02373,-125.25464,TRUE
Quest Outfitters,https://www.questoutfitters.com/,"Sarasota, FL",US,27.28279,-82.4463,TRUE
Refasten,https://refasten.ca/,"Ottawa, ON",CA,45.421532,-75.697189,
Mozet Supplies,https://mozetsupplies.ca/,"Victoria, CA",CA,48.42836,-123.35879,TRUE
PacCana,https://www.paccana.com/,"Calgary, CA",CA,51.077,-114.01372,
Rockywoods,https://www.rockywoods.com/,"Loveland, CO",US,40.39539,-105.07696,
Seattle Fabrics,https://www.seattlefabrics.com/,"Seattle, WA",US,47.69221,-122.34385,
ExtremTextil,https://www.extremtextil.de/en/,"Berlin, DE",DE,52.50077,13.42065,
Monkey Puzzle Fabrics,https://www.makeyourowngear.com.au/,"Blackheath, NSW",AU,-33.63748,150.28403,
A+ Products,https://www.aplusproducts.net/,"Marlboro, NJ",US,40.31365,-74.25847,
Strapworks,https://www.strapworks.com/,"Eugene, OR",US,44.04663,-123.08899,
Jontay,https://jontay.com/,"Blackshear, GA",US,31.301,-82.24369,
Dutchware Gear,https://dutchwaregear.com/,"Lancaster, PA",US,40.03788,-76.30551,
Contact Left,https://www.contactleft.co.uk/,"Liverpool, UK",GB,53.41037,-2.97938,
JT's Outdoor Fabrics ,https://jtsoutdoorfabrics.com/,"Barrie, ON",CA,44.33146,-79.68131,
Sailrite,https://www.sailrite.com/,"Columbia City, IN",US,41.14696,-85.44622,
The Trimming Shop,https://trimmingshop.co.uk/,"Cheshunt, UK",GB,51.7028,-0.0291,
Point North Profabrics,https://www.profabrics.co.uk/,"Chester, UK",GB,53.12188,-2.76746,
Pennine Outdoors,https://www.pennineoutdoor.co.uk/,"High Bentham, UK",GB,54.11823,-2.51199,
Hudson's Supplies,https://www.hudson4supplies.com/,"Montreal, QC",CA,45.50008,-73.66585,
Outdoor Experten,https://www.outdoorexperten.se/,"Västerås, SE",SE,59.61187,16.61122,
Tactical Trim,https://www.tacticaltrim.de/,"Berlin, DE",DE,52.428389,13.381763,
Wawak,https://www.wawak.com/,"Conklin, NY",US,42.0663,-75.81536,
AdventurExpert,https://www.adventurexpert.com/,"Domžale, Slovenia",SI,46.12284,14.61172,
The Rain Shed,https://www.therainshed.com/,"Cle Elum, WA",US,47.19437,-120.93742,
Mill Yardage,https://www.millyardage.com/,"Rollinsford, NH",US,43.23523,-70.81722,
Outdoor Wilderness Fabrics,https://www.owfinc.com/,"Caldwell, ID",US,43.66944,-116.69425,
Ripstop.pl,https://www.ripstop.pl/,"Poznań, PL",PL,52.40589,16.921680,
Hofman Outdoor Gear Supply,https://hofmanoutdoorgearsupply.ca/,"Portage la Prairie, Manitoba",CA,49.97331,-98.29440,
Shelby Outdoor,https://www.shelbyoutdoor.com/,"Oulu, Finland",FI,65.02769,25.4702384,
Thelin Outdoor,https://thelinoutdoor.se,"Lidköping, Sweden",SE,58.4994758,13.1574837,
Aktivstoffe.de,https://www.aktivstoffe.de/,"Quakenbrück, DE",DE,52.670650,7.923957,
Salt Lake Sewciety,https://www.saltlakesewciety.com/,"Salt Lake City, UT",US,40.72700, -111.85866
Hobby Fabric Store,https://hobbyfabricstore.com/,"Alhambra, CA",US,34.09482, -118.12654